timestamp,faces_detected,emotions_detected
2025-05-18 19:29:55.719,1,Sad
2025-05-18 19:29:55.792,1,Neutral
2025-05-18 19:29:55.848,1,Neutral
2025-05-18 19:29:55.898,1,Neutral
2025-05-18 19:29:55.950,1,Sad
2025-05-18 19:29:56.004,1,Sad
2025-05-18 19:29:56.078,1,Sad
2025-05-18 19:29:56.138,1,Sad
2025-05-18 19:29:56.191,1,Sad
2025-05-18 19:29:56.275,1,Sad
2025-05-18 19:29:56.330,1,Sad
2025-05-18 19:29:56.385,1,Sad
2025-05-18 19:29:56.438,1,Sad
2025-05-18 19:29:56.492,1,Sad
2025-05-18 19:29:56.543,1,Neutral
2025-05-18 19:29:56.598,1,Neutral
2025-05-18 19:29:56.652,1,Neutral
2025-05-18 19:29:56.742,1,Neutral
2025-05-18 19:29:56.796,1,Neutral
2025-05-18 19:29:56.849,1,Neutral
2025-05-18 19:29:56.903,1,Happy
2025-05-18 19:29:56.957,1,Happy
2025-05-18 19:29:57.010,1,Happy
2025-05-18 19:29:57.066,1,Happy
2025-05-18 19:29:57.120,1,Happy
2025-05-18 19:29:57.205,1,Happy
2025-05-18 19:29:57.258,1,Happy
2025-05-18 19:29:57.314,1,Happy
2025-05-18 19:29:57.368,1,Happy
2025-05-18 19:29:57.421,1,Happy
2025-05-18 19:29:57.472,1,Happy
2025-05-18 19:29:57.525,1,Happy
2025-05-18 19:29:57.577,1,Happy
2025-05-18 19:29:57.636,1,Happy
2025-05-18 19:29:57.690,1,Happy
2025-05-18 19:29:57.762,1,Happy
2025-05-18 19:29:57.816,1,Happy
2025-05-18 19:29:57.872,1,Happy
2025-05-18 19:29:57.935,1,Happy
2025-05-18 19:29:57.994,1,Happy
2025-05-18 19:29:58.051,1,Happy
2025-05-18 19:29:58.114,1,Happy
2025-05-18 19:29:58.175,1,Surprise
2025-05-18 19:29:58.236,1,Surprise
2025-05-18 19:29:58.304,1,Surprise
2025-05-18 19:29:58.404,2,"Surprise, Sad"
2025-05-18 19:29:58.473,1,Surprise
2025-05-18 19:29:58.538,1,Happy
2025-05-18 19:29:58.609,1,Happy
2025-05-18 19:29:58.679,1,Happy
2025-05-18 19:29:58.750,1,Happy
2025-05-18 19:29:58.818,1,Happy
2025-05-18 19:29:58.888,1,Happy
2025-05-18 19:29:58.973,1,Happy
2025-05-18 19:29:59.039,1,Happy
2025-05-18 19:29:59.106,1,Happy
2025-05-18 19:29:59.176,1,Happy
2025-05-18 19:29:59.241,1,Happy
2025-05-18 19:29:59.313,1,Happy
2025-05-18 19:29:59.380,1,Surprise
2025-05-18 19:29:59.452,1,Surprise
2025-05-18 19:29:59.532,1,Surprise
2025-05-18 19:29:59.601,1,Surprise
2025-05-18 19:29:59.674,1,Surprise
2025-05-18 19:29:59.747,1,Surprise
2025-05-18 19:29:59.818,1,Surprise
2025-05-18 19:29:59.901,1,Surprise
2025-05-18 19:29:59.971,1,Surprise
