timestamp,faces_detected,emotions_detected
2025-05-18 21:20:35.787,0,None
2025-05-18 21:20:35.827,0,None
2025-05-18 21:20:35.853,0,None
2025-05-18 21:20:35.879,0,None
2025-05-18 21:20:35.902,0,None
2025-05-18 21:20:35.926,0,None
2025-05-18 21:20:35.987,0,None
2025-05-18 21:20:36.015,0,None
2025-05-18 21:20:36.037,0,None
2025-05-18 21:20:36.070,0,None
2025-05-18 21:20:36.092,0,None
2025-05-18 21:20:36.112,0,None
2025-05-18 21:20:36.177,0,None
2025-05-18 21:20:36.203,0,None
2025-05-18 21:20:36.228,0,None
2025-05-18 21:20:36.463,1,Neutral
2025-05-18 21:20:36.527,1,Neutral
2025-05-18 21:20:36.587,1,Neutral
2025-05-18 21:20:36.644,1,Neutral
2025-05-18 21:20:36.701,1,Neutral
2025-05-18 21:20:36.761,1,Neutral
2025-05-18 21:20:36.827,1,Neutral
2025-05-18 21:20:36.900,1,Neutral
2025-05-18 21:20:36.973,1,Neutral
2025-05-18 21:20:37.035,1,Neutral
2025-05-18 21:20:37.103,1,Neutral
2025-05-18 21:20:37.162,1,Neutral
2025-05-18 21:20:37.220,1,Neutral
2025-05-18 21:20:37.285,1,Neutral
2025-05-18 21:20:37.346,1,Neutral
2025-05-18 21:20:37.420,1,Neutral
2025-05-18 21:20:37.479,1,Neutral
2025-05-18 21:20:37.540,1,Neutral
2025-05-18 21:20:37.606,1,Neutral
2025-05-18 21:20:37.669,1,Neutral
2025-05-18 21:20:37.732,1,Neutral
2025-05-18 21:20:37.793,1,Neutral
2025-05-18 21:20:37.851,1,Neutral
2025-05-18 21:20:37.918,1,Neutral
2025-05-18 21:20:37.976,1,Neutral
2025-05-18 21:20:38.037,1,Neutral
2025-05-18 21:20:38.100,1,Neutral
2025-05-18 21:20:38.167,1,Neutral
2025-05-18 21:20:38.256,1,Neutral
2025-05-18 21:20:38.321,1,Neutral
2025-05-18 21:20:38.383,1,Neutral
2025-05-18 21:20:38.445,1,Neutral
2025-05-18 21:20:38.508,1,Neutral
2025-05-18 21:20:38.568,1,Neutral
2025-05-18 21:20:38.631,1,Neutral
2025-05-18 21:20:38.692,1,Neutral
2025-05-18 21:20:38.747,1,Neutral
2025-05-18 21:20:38.804,1,Neutral
2025-05-18 21:20:38.865,1,Neutral
2025-05-18 21:20:38.924,1,Neutral
2025-05-18 21:20:38.981,1,Neutral
2025-05-18 21:20:39.042,1,Neutral
2025-05-18 21:20:39.162,1,Neutral
2025-05-18 21:20:39.223,1,Neutral
2025-05-18 21:20:39.275,1,Happy
2025-05-18 21:20:39.328,1,Happy
2025-05-18 21:20:39.383,1,Happy
2025-05-18 21:20:39.438,1,Happy
2025-05-18 21:20:39.493,1,Sad
2025-05-18 21:20:39.546,1,Sad
2025-05-18 21:20:39.605,1,Sad
2025-05-18 21:20:39.663,1,Neutral
2025-05-18 21:20:39.720,1,Happy
2025-05-18 21:20:39.777,1,Happy
2025-05-18 21:20:39.834,1,Happy
2025-05-18 21:20:39.888,1,Neutral
2025-05-18 21:20:39.945,1,Neutral
2025-05-18 21:20:40.013,1,Neutral
2025-05-18 21:20:40.077,1,Neutral
2025-05-18 21:20:40.137,1,Neutral
2025-05-18 21:20:40.202,1,Neutral
2025-05-18 21:20:40.260,1,Neutral
2025-05-18 21:20:40.321,1,Neutral
2025-05-18 21:20:40.387,1,Neutral
2025-05-18 21:20:40.443,1,Neutral
2025-05-18 21:20:40.500,1,Neutral
2025-05-18 21:20:40.563,1,Neutral
2025-05-18 21:20:40.621,1,Happy
2025-05-18 21:20:40.676,1,Neutral
