timestamp,faces_detected,emotions_detected
2025-07-17 18:05:49.316,1,Neutral
2025-07-17 18:05:49.435,1,Sad
2025-07-17 18:05:49.466,0,None
2025-07-17 18:05:49.495,0,None
2025-07-17 18:05:49.528,0,None
2025-07-17 18:05:49.606,1,Happy
2025-07-17 18:05:49.634,0,None
2025-07-17 18:05:49.669,0,None
2025-07-17 18:05:49.708,0,None
2025-07-17 18:05:49.745,0,None
2025-07-17 18:05:49.823,1,Happy
2025-07-17 18:05:49.857,0,None
2025-07-17 18:05:49.936,1,Sad
2025-07-17 18:05:49.965,0,None
2025-07-17 18:05:50.001,0,None
2025-07-17 18:05:50.037,0,None
2025-07-17 18:05:50.066,0,None
2025-07-17 18:05:50.096,0,None
2025-07-17 18:05:50.125,0,None
2025-07-17 18:05:50.156,0,None
2025-07-17 18:05:50.192,0,None
2025-07-17 18:05:50.229,0,None
2025-07-17 18:05:50.266,0,None
2025-07-17 18:05:50.343,1,Neutral
2025-07-17 18:05:50.418,1,Neutral
2025-07-17 18:05:50.501,1,Neutral
2025-07-17 18:05:50.592,1,Neutral
2025-07-17 18:05:50.665,1,Neutral
2025-07-17 18:05:50.738,1,Neutral
2025-07-17 18:05:50.809,1,Neutral
2025-07-17 18:05:50.882,1,Neutral
2025-07-17 18:05:50.951,1,Neutral
2025-07-17 18:05:51.020,1,Neutral
2025-07-17 18:05:51.089,1,Neutral
2025-07-17 18:05:51.162,1,Neutral
2025-07-17 18:05:51.231,1,Neutral
2025-07-17 18:05:51.307,1,Neutral
2025-07-17 18:05:51.376,1,Neutral
2025-07-17 18:05:51.444,1,Neutral
2025-07-17 18:05:51.520,1,Neutral
2025-07-17 18:05:51.590,1,Neutral
2025-07-17 18:05:51.660,1,Neutral
2025-07-17 18:05:51.734,1,Neutral
2025-07-17 18:05:51.804,1,Neutral
2025-07-17 18:05:51.871,1,Neutral
2025-07-17 18:05:51.942,1,Neutral
2025-07-17 18:05:52.008,1,Neutral
2025-07-17 18:05:52.075,1,Neutral
2025-07-17 18:05:52.143,1,Neutral
2025-07-17 18:05:52.211,1,Neutral
2025-07-17 18:05:52.283,1,Neutral
2025-07-17 18:05:52.352,1,Neutral
2025-07-17 18:05:52.420,1,Sad
2025-07-17 18:05:52.486,1,Neutral
2025-07-17 18:05:52.557,1,Neutral
2025-07-17 18:05:52.624,1,Neutral
2025-07-17 18:05:52.692,1,Neutral
2025-07-17 18:05:52.767,1,Neutral
2025-07-17 18:05:52.847,1,Sad
2025-07-17 18:05:52.917,1,Neutral
2025-07-17 18:05:52.985,1,Neutral
2025-07-17 18:05:53.054,1,Neutral
2025-07-17 18:05:53.124,1,Neutral
2025-07-17 18:05:53.194,1,Neutral
2025-07-17 18:05:53.261,1,Neutral
2025-07-17 18:05:53.332,1,Neutral
2025-07-17 18:05:53.408,1,Neutral
2025-07-17 18:05:53.528,1,Neutral
2025-07-17 18:05:53.593,1,Happy
2025-07-17 18:05:53.661,1,Happy
2025-07-17 18:05:53.727,1,Happy
2025-07-17 18:05:53.794,1,Happy
2025-07-17 18:05:53.866,1,Happy
2025-07-17 18:05:53.938,1,Happy
2025-07-17 18:05:54.003,1,Happy
2025-07-17 18:05:54.074,1,Happy
2025-07-17 18:05:54.141,1,Neutral
2025-07-17 18:05:54.210,1,Neutral
2025-07-17 18:05:54.278,1,Neutral
2025-07-17 18:05:54.348,1,Neutral
2025-07-17 18:05:54.415,1,Neutral
2025-07-17 18:05:54.479,1,Neutral
2025-07-17 18:05:54.547,1,Neutral
2025-07-17 18:05:54.622,1,Neutral
2025-07-17 18:05:54.689,1,Neutral
2025-07-17 18:05:54.759,1,Neutral
2025-07-17 18:05:54.827,1,Neutral
2025-07-17 18:05:54.894,1,Neutral
2025-07-17 18:05:54.963,1,Neutral
2025-07-17 18:05:55.049,1,Happy
2025-07-17 18:05:55.121,1,Neutral
2025-07-17 18:05:55.198,1,Neutral
2025-07-17 18:05:55.264,1,Neutral
2025-07-17 18:05:55.331,1,Neutral
2025-07-17 18:05:55.404,1,Neutral
2025-07-17 18:05:55.472,1,Neutral
2025-07-17 18:05:55.543,1,Neutral
2025-07-17 18:05:55.612,1,Neutral
2025-07-17 18:05:55.685,1,Neutral
2025-07-17 18:05:55.755,1,Neutral
2025-07-17 18:05:55.823,1,Neutral
2025-07-17 18:05:55.890,1,Neutral
2025-07-17 18:05:55.955,1,Neutral
2025-07-17 18:05:56.020,1,Neutral
2025-07-17 18:05:56.090,1,Neutral
2025-07-17 18:05:56.156,1,Neutral
2025-07-17 18:05:56.222,1,Neutral
2025-07-17 18:05:56.298,1,Neutral
2025-07-17 18:05:56.368,1,Neutral
2025-07-17 18:05:56.432,1,Surprise
2025-07-17 18:05:56.459,0,None
2025-07-17 18:05:56.526,1,Surprise
2025-07-17 18:05:56.595,1,Surprise
2025-07-17 18:05:56.622,0,None
2025-07-17 18:05:56.649,0,None
2025-07-17 18:05:56.722,1,Surprise
2025-07-17 18:05:56.750,0,None
2025-07-17 18:05:56.778,0,None
2025-07-17 18:05:56.853,1,Surprise
2025-07-17 18:05:56.924,1,Surprise
2025-07-17 18:05:56.998,1,Surprise
2025-07-17 18:05:57.025,0,None
2025-07-17 18:05:57.095,1,Surprise
2025-07-17 18:05:57.162,1,Neutral
2025-07-17 18:05:57.242,1,Neutral
2025-07-17 18:05:57.318,1,Neutral
2025-07-17 18:05:57.388,1,Neutral
2025-07-17 18:05:57.458,1,Neutral
2025-07-17 18:05:57.525,1,Neutral
2025-07-17 18:05:57.598,1,Neutral
2025-07-17 18:05:57.665,1,Neutral
2025-07-17 18:05:57.733,1,Neutral
2025-07-17 18:05:57.800,1,Neutral
2025-07-17 18:05:57.868,1,Neutral
2025-07-17 18:05:57.934,1,Neutral
2025-07-17 18:05:58.008,1,Neutral
2025-07-17 18:05:58.081,1,Neutral
2025-07-17 18:05:58.156,1,Neutral
2025-07-17 18:05:58.228,1,Happy
2025-07-17 18:05:58.298,1,Happy
2025-07-17 18:05:58.364,1,Happy
2025-07-17 18:05:58.432,1,Happy
2025-07-17 18:05:58.501,1,Happy
2025-07-17 18:05:58.566,1,Happy
2025-07-17 18:05:58.634,1,Happy
2025-07-17 18:05:58.709,1,Happy
2025-07-17 18:05:58.784,1,Neutral
2025-07-17 18:05:58.858,1,Neutral
2025-07-17 18:05:58.934,1,Neutral
2025-07-17 18:05:59.021,1,Neutral
2025-07-17 18:05:59.055,0,None
2025-07-17 18:05:59.147,1,Neutral
2025-07-17 18:05:59.248,1,Neutral
2025-07-17 18:05:59.361,1,Neutral
2025-07-17 18:05:59.461,1,Neutral
2025-07-17 18:05:59.556,1,Happy
2025-07-17 18:05:59.635,1,Sad
2025-07-17 18:05:59.668,0,None
2025-07-17 18:05:59.752,1,Sad
2025-07-17 18:05:59.832,1,Sad
